Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 08 29 +0.42 -1 +1 +1 1
02 08 30 +0.56 +0 +1 +1 1
02 08 31 +0.10 +1 -1 -1 1
02 08 32 +0.42 +1 -1 -1 1
02 08 33 +0.13 +0 +1 +1 1
02 08 34 +0.10 +0 -1 +1 0
02 08 35 +0.18 -1 -1 -1 1
02 08 36 +1.00 +0 -1 -1 1
02 08 37 +0.13 +1 -1 -1 1
02 08 38 +0.24 -1 +1 +1 1
02 08 39 +0.24 +0 +1 +1 1
02 08 40 +0.32 +1 +1 +1 1
02 08 41 +0.18 +0 +1 +1 1
02 08 42 +0.42 +1 +1 +1 1
02 08 43 +0.13 -1 +1 +1 1
02 08 44 +0.00 +0 -1 +1 1
02 08 45 +0.42 +0 +1 +1 1
02 08 46 +0.56 -1 -1 -1 1
02 08 47 +0.13 -1 -1 +1 0
02 08 48 +0.10 +0 +1 +1 1
02 08 49 +1.00 +1 -1 -1 1
02 08 50 +0.75 +0 +1 +1 1
02 08 51 +0.32 +0 +1 +1 1
02 08 52 +0.75 +1 +1 +1 1
02 08 53 +0.32 +1 -1 -1 1
02 08 54 +0.18 -1 +1 +1 1
02 08 55 +0.32 -1 +1 +1 1
02 08 56 +0.00 -1 -1 +1 1
02 08 57 +0.24 +0 -1 +1 0
02 08 58 +0.13 +0 -1 -1 1
02 08 59 +0.00 +1 -1 +1 1
02 08 60 +1.00 -1 +1 +1 1
02 09 01 +0.13 +1 -1 +1 0
02 09 02 +0.32 +0 +1 +1 1
02 09 03 +1.00 +1 +1 +1 1
02 09 04 +0.42 +0 +1 +1 1
02 09 05 +0.42 +0 -1 -1 1
02 09 06 +0.75 -1 -1 -1 1
02 09 07 +0.13 -1 +1 +1 1
02 09 08 +0.75 +0 +1 +1 1
02 09 09 +0.56 +0 +1 +1 1
02 09 10 +1.00 +0 -1 -1 1
02 09 11 +0.18 +0 +1 +1 1
02 09 12 +0.75 +1 -1 -1 1
02 09 13 +0.10 -1 -1 +1 0
02 09 14 +0.75 +1 +1 +1 1
02 09 15 +0.32 +1 +1 +1 1
02 09 16 +0.75 +0 -1 -1 1
02 09 17 +0.56 -1 -1 -1 1
02 09 18 +0.00 -1 +1 +1 0
02 09 19 +0.18 +1 -1 -1 1
02 09 20 +0.13 +0 +1 +1 1
02 09 21 +0.24 +0 -1 -1 1
02 09 22 +0.32 -1 -1 -1 1
02 09 23 +0.00 +0 +1 +1 0
02 09 24 +0.32 +1 -1 -1 1
02 09 25 +0.42 -1 -1 -1 1
02 09 26 +0.32 +0 -1 -1 1
02 09 27 +0.18 -1 +1 +1 1
02 09 28 +1.00 -1 -1 -1 1
02 09 29 +0.56 +0 -1 -1 1
02 09 30 +0.24 +1 +1 +1 1
02 09 31 +1.00 +1 -1 -1 1
02 09 32 +0.10 +1 +1 +1 1
02 09 33 +0.56 +1 +1 +1 1
02 09 34 +0.56 -1 +1 +1 1
02 09 35 +0.24 -1 -1 -1 1
02 09 36 +0.00 -1 -1 +1 0
02 09 37 +0.18 +1 +1 +1 1
02 09 38 +0.10 -1 +1 +1 1
02 09 39 +0.24 -1 +1 +1 1
02 09 40 +0.42 -1 +1 +1 1
02 09 41 +0.00 +1 +1 +1 0
02 09 42 +0.00 +0 -1 +1 0
02 09 43 +0.56 +1 -1 -1 1
02 09 44 +0.18 +0 -1 +1 0
02 09 45 +0.00 +1 -1 +1 0
02 09 46 +1.00 -1 +1 +1 1
02 09 47 +0.24 +0 +1 +1 1
02 09 48 +0.75 -1 +1 +1 1
02 09 49 +0.18 -1 -1 -1 1
02 09 50 +0.13 -1 -1 -1 1
02 09 51 +0.32 -1 +1 +1 1
02 09 52 +1.00 +0 +1 +1 1
02 09 53 +0.24 +1 -1 -1 1
02 09 54 +0.42 +1 -1 -1 1
02 09 55 +0.42 +1 +1 +1 1
02 09 56 +0.13 +0 -1 -1 1
02 09 57 +0.10 +0 +1 -1 0
02 09 58 +0.10 +1 -1 -1 1
02 09 59 +0.13 +1 +1 +1 1
02 09 60 +0.10 +0 -1 -1 1
02 10 01 +0.24 -1 +1 +1 1
02 10 02 +0.18 +0 -1 -1 1
02 10 03 +0.18 +1 -1 +1 0
02 10 04 +0.56 -1 -1 -1 1
02 10 05 +0.10 -1 +1 +1 1
02 10 06 +0.13 +0 -1 -1 1
02 10 07 +0.75 +1 -1 -1 1
02 10 08 +0.24 -1 -1 -1 1
02 10 09 +0.13 -1 +1 +1 1
02 10 10 +0.10 +1 -1 -1 1
02 10 11 +0.42 +1 -1 -1 1
02 10 12 +0.42 +0 -1 -1 1
02 10 13 +0.56 +1 -1 -1 1
02 10 14 +0.32 -1 +1 +1 1
02 10 15 +0.18 +0 +1 +1 1
02 10 16 +1.00 -1 +1 +1 1
02 10 17 +0.32 +0 -1 -1 1
02 10 18 +1.00 +1 +1 +1 1
02 10 19 +0.56 +0 +1 +1 1
02 10 20 +0.00 +1 -1 +1 0
02 10 21 +0.18 -1 -1 -1 1
02 10 22 +0.24 +1 -1 -1 1
02 10 23 +0.24 +0 +1 +1 1
02 10 24 +0.18 +1 +1 +1 1
02 10 25 +0.00 -1 +1 -1 0
02 10 26 +0.00 -1 -1 +1 0
02 10 27 +0.42 -1 -1 -1 1
